geoid,STNAME,CTYNAME,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,POPESTIMATE2020,NPOPCHG_2020,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,NETMIG2020,RESIDUAL2020,GQESTIMATES2020,RBIRTH2020,RDEATH2020,RNATURALINC2020,RINTERNATIONALMIG2020,RDOMESTICMIG2020,RNETMIG2020
USA-10001,Delaware,Kent County,9173,167,0.026,0.006,0.106,0.051,0.811,183643,2151,2151,1947,204,201,1746,1947,0,4615,11.78194367,10.66454873,1.117394936,1.100962658,9.563586071,10.66454873
USA-10003,Delaware,New Castle County,33211,462,0.027,0.013,0.041,0.133,0.786,561531,1590,6097,5242,855,847,-146,701,34,17477,10.8732095,9.348427781,1.524781716,1.510514752,-0.260372082,1.25014267
USA-10005,Delaware,Sussex County,14936,297,0.005,0.001,0.035,0.103,0.856,241635,6400,2268,3179,-911,169,7172,7341,-30,2846,9.512026338,13.33277413,-3.820747793,0.708788559,30.07947659,30.78826515
USA-11001,District of Columbia,District of Columbia,28983,786,0.012,0.013,0.069,0.164,0.743,712816,4563,9155,6093,3062,2143,-658,1485,16,38802,12.8846664,8.575234559,4.309431843,3.016039334,-0.926063407,2.089975927
USA-12001,Florida,Alachua County,15866,129,0.001,0.024,0.053,0.17,0.751,271218,1729,2680,2236,444,675,585,1260,25,14597,9.912947308,8.270653052,1.642294256,2.496731132,2.163833647,4.660564779
USA-12003,Florida,Baker County,2470,36,0.087,0.076,0.18,0.215,0.442,29566,278,359,284,75,6,194,200,3,2831,12.19968057,9.651000782,2.548679784,0.203894383,6.592585041,6.796479424
USA-12005,Florida,Bay County,11907,209,0.065,0.109,0.076,0.202,0.548,171322,-2573,1894,2065,-171,232,-2627,-2395,-7,3645,10.97280841,11.96348963,-0.990681224,1.344082128,-15.21941272,-13.87533059
USA-12007,Florida,Bradford County,2180,23,0.106,0.168,0.172,0.173,0.381,28593,245,292,355,-63,1,309,310,-2,4225,10.25623013,12.46904691,-2.212816775,0.035124076,10.85333942,10.8884635
USA-12009,Florida,Brevard County,21034,523,0.068,0.073,0.096,0.157,0.607,608459,7435,5236,8105,-2869,489,9874,10363,-59,6768,8.658244887,13.4024207,-4.744175817,0.80860996,16.32763751,17.13624747
USA-12011,Florida,Broward County,137610,1847,0.026,0.023,0.043,0.117,0.791,1958105,2630,21491,17369,4122,10567,-12084,-1517,25,16287,10.98278303,8.876271853,2.106511174,5.400170688,-6.175419948,-0.77524926
USA-12013,Florida,Calhoun County,1233,28,0.034,0.055,0.138,0.267,0.507,14078,-62,121,159,-38,7,-30,-23,-1,1688,8.576086186,11.26940251,-2.693316323,0.496137217,-2.12630236,-1.630165143
USA-12015,Florida,Charlotte County,7410,231,0.051,0.049,0.101,0.158,0.64,194711,5042,1002,3117,-2115,200,7009,7209,-52,2885,5.213590718,16.21832562,-11.0047349,1.04063687,36.4691191,37.50975597
USA-12017,Florida,Citrus County,6663,266,0.09,0.036,0.087,0.178,0.609,153010,2857,1029,2865,-1836,22,4707,4729,-36,2253,6.788427348,18.90072337,-12.11229603,0.145136445,31.05260207,31.19773851
USA-12019,Florida,Clay County,11261,186,0.055,0.067,0.15,0.209,0.52,221770,2756,2211,2104,107,162,2498,2660,-11,1249,10.03212458,9.546626012,0.485498566,0.735053904,11.3343497,12.06940361
USA-12021,Florida,Collier County,22506,332,0.04,0.023,0.067,0.212,0.658,392973,7056,3163,4286,-1123,1594,6617,8211,-32,4547,8.121814377,11.00540513,-2.883590751,4.093004147,16.99084595,21.08385009
USA-12023,Florida,Columbia County,6007,117,0.047,0.026,0.288,0.254,0.385,72654,888,789,926,-137,26,1003,1029,-4,5441,10.92646448,12.82370863,-1.897244149,0.360060933,13.89004293,14.25010386
USA-12027,Florida,DeSoto County,2898,56,0.023,0.064,0.056,0.142,0.715,38520,699,403,371,32,103,566,669,-2,3583,10.55789157,9.719547818,0.838343747,2.698418936,14.82820503,17.52662396
USA-12029,Florida,Dixie County,1115,11,0.071,0.095,0.119,0.318,0.397,17057,170,153,235,-82,-2,255,253,-1,1758,9.014847985,13.84633514,-4.831487155,-0.11784115,15.02474664,14.90690549
USA-12031,Florida,Duval County,61321,725,0.049,0.042,0.086,0.194,0.629,966728,6875,12932,9624,3308,1978,1552,3530,37,20763,13.42481837,9.990755644,3.434062726,2.053378498,1.611144302,3.6645228
USA-12033,Florida,Escambia County,22349,373,0.019,0.052,0.095,0.31,0.524,322364,2985,3812,3925,-113,258,2836,3094,4,18012,11.88014517,12.23231107,-0.352165898,0.804060192,8.838429091,9.642489283
USA-12035,Florida,Flagler County,3724,48,0.079,0.05,0.113,0.157,0.602,118451,2970,840,1560,-720,100,3612,3712,-22,684,7.181574133,13.3372091,-6.155634971,0.854949302,30.88076877,31.73571807
USA-12037,Florida,Franklin County,900,4,0.022,0.101,0.237,0.228,0.412,12201,88,88,141,-53,4,139,143,-2,1765,7.238627951,11.59825615,-4.359628198,0.329028543,11.43374188,11.76277042
USA-12039,Florida,Gadsden County,3987,59,0.06,0.033,0.104,0.227,0.575,45277,-393,492,540,-48,26,-369,-343,-2,3267,10.81948827,11.87504811,-1.055559832,0.571761575,-8.114616205,-7.54285463
USA-12041,Florida,Gilchrist County,1014,23,0.016,0.151,0.069,0.324,0.44,18885,313,191,210,-19,4,329,333,-1,1182,10.19836079,11.21285741,-1.014496623,0.213578236,17.56680994,17.78038818
USA-12043,Florida,Glades County,769,11,0.047,0.082,0.098,0.096,0.677,14198,284,61,147,-86,15,356,371,-1,1468,4.339783722,10.45816733,-6.118383608,1.067159932,25.32726238,26.39442231
USA-12045,Florida,Gulf County,1333,27,0.046,0.125,0.12,0.249,0.46,13534,36,115,196,-81,1,117,118,-1,398,8.508434448,14.50133176,-5.992897307,0.073986387,8.656407221,8.730393608
USA-12047,Florida,Hamilton County,1277,15,0.101,0.071,0.235,0.227,0.365,14521,51,167,146,21,12,16,28,2,2705,11.52081681,10.07209134,1.448725467,0.827843124,1.103790832,1.931633955
USA-12049,Florida,Hardee County,2110,20,0.114,0.041,0.179,0.186,0.48,26822,16,330,225,105,0,-90,-90,1,1590,12.3070038,8.391138957,3.915864847,0,-3.356455583,-3.356455583
USA-12051,Florida,Hendry County,3291,49,0.046,0.042,0.112,0.15,0.65,42813,744,593,363,230,268,245,513,1,696,13.97233807,8.553050117,5.419287953,6.314648571,5.772719776,12.08736835
USA-12053,Florida,Hernando County,7336,278,0.09,0.04,0.091,0.19,0.589,198792,4502,1607,3098,-1491,127,5911,6038,-45,1832,8.176411029,15.76261442,-7.586203388,0.646175607,30.07514971,30.72132532
USA-12055,Florida,Highlands County,4975,204,0.025,0.056,0.145,0.138,0.635,106639,749,835,1807,-972,244,1485,1729,-8,1734,7.857751178,17.00473818,-9.146986999,2.29615723,13.97456347,16.2707207
USA-12057,Florida,Hillsborough County,77118,1071,0.023,0.031,0.069,0.155,0.722,1497957,21526,17169,12718,4451,5483,11559,17042,33,23501,11.54455976,8.551675168,2.992884587,3.686808849,7.772355187,11.45916404
USA-12059,Florida,Holmes County,1683,25,0.17,0.077,0.081,0.111,0.562,19594,-67,192,277,-85,3,15,18,0,1760,9.782193351,14.11285187,-4.330658515,0.152846771,0.764233856,0.917080627
USA-12061,Florida,Indian River County,6875,159,0.054,0.065,0.082,0.193,0.607,162518,2779,1277,2416,-1139,119,3815,3934,-16,1326,7.925351505,14.99424373,-7.06889222,0.738540978,23.67675489,24.41529587
USA-12063,Florida,Jackson County,4649,118,0.064,0.108,0.129,0.174,0.526,46085,-172,468,668,-200,20,7,27,1,6313,10.1362327,14.46795608,-4.331723376,0.433172338,0.151610318,0.584782656
USA-12065,Florida,Jefferson County,994,16,0.019,0.017,0.099,0.183,0.682,14543,263,110,170,-60,29,297,326,-3,1273,7.632793255,11.79613503,-4.163341776,2.012281858,20.60854179,22.62082365
USA-12067,Florida,Lafayette County,1422,22,0.102,0.081,0.22,0.208,0.389,8482,98,57,82,-25,19,104,123,0,1259,6.759160441,9.723704494,-2.964544053,2.25305348,12.33250326,14.58555674
USA-12069,Florida,Lake County,15559,295,0.047,0.062,0.074,0.185,0.632,375492,8551,3456,4968,-1512,445,9677,10122,-59,3948,9.309930997,13.38302581,-4.073094811,1.19876137,26.06834556,27.26710693
USA-12071,Florida,Lee County,40634,672,0.052,0.05,0.073,0.176,0.648,790767,18499,6919,8819,-1900,1985,18519,20504,-105,8476,8.853288634,11.2844562,-2.431167568,2.539930328,23.69620642,26.23613675
USA-12073,Florida,Leon County,19573,175,0.051,0.022,0.071,0.156,0.7,295460,1594,2919,2175,744,342,484,826,24,15011,9.906231865,7.381313568,2.524918297,1.160647927,1.642554376,2.803202302
USA-12075,Florida,Levy County,1851,19,0.017,0.132,0.072,0.187,0.592,42214,594,431,604,-173,15,756,771,-4,335,10.2822244,14.40942816,-4.12720376,0.357850037,18.03564186,18.3934919
USA-12077,Florida,Liberty County,750,14,0.022,0.023,0.205,0.268,0.482,8364,23,66,71,-5,-5,33,28,0,2050,7.901825801,8.500448967,-0.598623167,-0.598623167,3.9509129,3.352289734
USA-12079,Florida,Madison County,1540,33,0.164,0.085,0.148,0.264,0.34,18707,108,198,248,-50,27,132,159,-1,2022,10.61491449,13.29544845,-2.680533962,1.44748834,7.076609661,8.524098
USA-12081,Florida,Manatee County,22332,433,0.074,0.037,0.062,0.201,0.626,411219,8242,3496,4839,-1343,528,9099,9627,-42,4814,8.587612811,11.88657277,-3.298959956,1.296985001,22.35088357,23.64786857
USA-12083,Florida,Marion County,17799,463,0.046,0.087,0.121,0.203,0.543,373513,7516,3532,5608,-2076,250,9397,9647,-55,9218,9.552271098,15.16679964,-5.614528539,0.676123379,25.41412557,26.09024895
USA-12085,Florida,Martin County,7839,210,0.027,0.018,0.066,0.169,0.719,162088,876,1230,2210,-980,49,1818,1867,-11,4216,7.609031859,13.67151253,-6.062480668,0.303124033,11.24652026,11.54964429
USA-12086,Florida,Miami-Dade County,298872,4188,0.032,0.023,0.06,0.128,0.756,2707303,-4309,30086,23189,6897,28593,-39667,-11074,-132,42231,11.10406788,8.558539855,2.545528025,10.55303506,-14.64020011,-4.087165051
USA-12087,Florida,Monroe County,4226,35,0.007,0.001,0.014,0.159,0.819,73900,3,675,771,-96,210,-113,97,2,1998,9.13415022,10.43322936,-1.299079142,2.841735624,-1.529124407,1.312611217
USA-12089,Florida,Nassau County,4775,66,0.09,0.07,0.147,0.223,0.47,91113,2530,859,1074,-215,14,2745,2759,-14,543,9.560591221,11.9535215,-2.392930282,0.155818716,30.55159826,30.70741697
USA-12091,Florida,Okaloosa County,12856,231,0.091,0.083,0.147,0.21,0.469,212820,1409,2733,2085,648,158,594,752,9,5221,12.88448982,9.82955041,3.054939408,0.744877201,2.800361124,3.545238325
USA-12093,Florida,Okeechobee County,2430,51,0.016,0.034,0.064,0.171,0.715,42297,156,529,498,31,46,77,123,2,3024,12.5299036,11.79563704,0.734266562,1.089556835,1.823823397,2.913380232
USA-12095,Florida,Orange County,76457,748,0.02,0.02,0.072,0.164,0.724,1404396,9025,16684,9545,7139,8377,-6553,1824,62,35766,11.91813462,6.818424533,5.099710083,5.984069389,-4.68110382,1.302965568
USA-12097,Florida,Osceola County,25344,288,0.025,0.022,0.058,0.176,0.72,385315,11145,4493,2723,1770,2594,6807,9401,-26,3288,11.83170175,7.170648532,4.661053214,6.830944653,17.92530465,24.7562493
USA-12099,Florida,Palm Beach County,82888,1895,0.03,0.02,0.05,0.116,0.784,1507600,9800,14865,16781,-1916,5962,5715,11677,39,21850,9.892194051,11.16723232,-1.275038264,3.967525121,3.803154322,7.770679444
USA-12101,Florida,Pasco County,21932,376,0.027,0.029,0.055,0.179,0.709,570412,16380,5194,7082,-1888,495,17889,18384,-116,5798,9.238343573,12.59644767,-3.358104094,0.880435131,31.81839202,32.69882715
USA-12103,Florida,Pinellas County,44975,1049,0.025,0.019,0.074,0.133,0.75,976802,1435,7928,13821,-5893,1146,6206,7352,-24,19928,8.122247613,14.15963475,-6.037387132,1.174078679,6.35805609,7.532134769
USA-12105,Florida,Polk County,37403,790,0.05,0.063,0.085,0.172,0.63,744552,19585,8169,8009,160,1207,18329,19536,-111,13783,11.11792362,10.90016529,0.217758328,1.642714385,24.94557743,26.58829182
USA-12107,Florida,Putnam County,3990,72,0.068,0.05,0.114,0.186,0.581,74815,506,814,1064,-250,-5,765,760,-4,1422,10.91708913,14.27000349,-3.352914353,-0.067058287,10.25991792,10.19285963
USA-12109,Florida,St. Johns County,13072,113,0.047,0.071,0.097,0.223,0.561,278715,13647,2282,2330,-48,100,13690,13790,-95,2967,8.393053847,8.569594857,-0.17654101,0.367793771,50.35096721,50.71876098
USA-12111,Florida,St. Lucie County,14278,405,0.077,0.022,0.08,0.173,0.648,337186,9123,3152,3913,-761,438,9494,9932,-48,3041,9.476151035,11.76401618,-2.287865145,1.316800176,28.54269604,29.85949622
USA-12113,Florida,Santa Rosa County,11180,128,0.047,0.068,0.166,0.265,0.453,189139,4552,1967,1855,112,-6,4474,4468,-28,6169,10.52642845,9.927058861,0.599369592,-0.032109085,23.94267458,23.9105655
USA-12115,Florida,Sarasota County,18607,509,0.017,0.031,0.073,0.175,0.704,443465,8459,2895,6732,-3837,561,11804,12365,-69,6003,6.590997312,15.32663002,-8.735632707,1.277219168,26.87396624,28.15118541
USA-12117,Florida,Seminole County,18083,314,0.037,0.039,0.066,0.141,0.717,474171,2380,4654,3972,682,1053,624,1677,21,3513,9.83971872,8.397800335,1.441918386,2.226305074,1.319291895,3.545596969
USA-12119,Florida,Sumter County,5085,120,0.037,0.036,0.064,0.235,0.628,139018,5246,469,2269,-1800,2,7085,7087,-41,8264,3.438542469,16.63550717,-13.1969647,0.014663294,51.94471938,51.95938268
USA-12121,Florida,Suwannee County,4015,97,0.105,0.055,0.244,0.227,0.369,44851,431,458,617,-159,0,592,592,-2,2513,10.260891,13.82307804,-3.562187048,0,13.26298574,13.26298574
USA-12123,Florida,Taylor County,1967,25,0.103,0.086,0.19,0.145,0.476,21600,63,234,262,-28,4,87,91,0,2428,10.84915502,12.14734451,-1.298189489,0.185455641,4.033660199,4.21911584
USA-12125,Florida,Union County,1439,65,0.044,0.04,0.176,0.267,0.473,15182,-31,163,257,-94,2,60,62,1,4814,10.72544827,16.9106761,-6.185227834,0.131600592,3.948017766,4.079618358
USA-12127,Florida,Volusia County,22291,449,0.035,0.066,0.089,0.192,0.618,561497,7432,4836,7812,-2976,672,9776,10448,-40,14480,8.670069436,14.00549678,-5.335427345,1.204773917,17.52659198,18.73136589
USA-12129,Florida,Wakulla County,2106,25,0.032,0.092,0.172,0.275,0.429,34319,683,325,306,19,2,664,666,-2,3248,9.56515341,9.005959826,0.559193584,0.058862483,19.5423442,19.60120668
USA-12131,Florida,Walton County,4891,48,0.092,0.06,0.092,0.244,0.512,76648,2521,850,740,110,8,2418,2426,-15,2031,11.27507876,9.81595092,1.45912784,0.106118388,32.07428287,32.18040126
USA-12133,Florida,Washington County,1971,30,0.138,0.085,0.062,0.158,0.557,25932,285,276,357,-81,11,356,367,-1,2620,10.7020299,13.84284302,-3.140813122,0.426530177,13.80406755,14.23059772
USA-13001,Georgia,Appling County,1677,44,0.085,0.117,0.23,0.152,0.416,18325,-64,213,224,-11,3,-57,-54,1,416,11.60320314,12.20242959,-0.599226453,0.163425396,-3.10508253,-2.941657134
USA-13003,Georgia,Atkinson County,775,9,0.059,0.1,0.179,0.217,0.445,8393,124,134,81,53,26,44,70,1,21,16.08450366,9.722722362,6.361781299,3.120873845,5.281478814,8.402352659
USA-13005,Georgia,Bacon County,1011,25,0.071,0.132,0.187,0.188,0.421,11036,-62,136,113,23,-4,-80,-84,-1,297,12.28878648,10.21053583,2.078250655,-0.361434897,-7.228697931,-7.590132827
USA-13007,Georgia,Baker County,164,6,0.027,0.048,0.054,0.127,0.743,2971,-76,24,25,-1,0,-74,-74,-1,0,7.976071785,8.308408109,-0.332336324,0,-24.592888,-24.592888
USA-13009,Georgia,Baldwin County,3203,75,0.02,0.089,0.107,0.29,0.494,45099,93,390,510,-120,30,180,210,3,5819,8.656567338,11.32012652,-2.663559181,0.665889795,3.995338771,4.661228567
USA-13011,Georgia,Banks County,1248,20,0.136,0.103,0.125,0.238,0.399,19352,177,200,173,27,4,148,152,-2,0,10.38232928,8.980714823,1.401614452,0.207646586,7.682923664,7.890570249
USA-13013,Georgia,Barrow County,5296,67,0.063,0.086,0.092,0.19,0.568,85588,2007,1094,725,369,101,1543,1644,-6,360,12.93381175,8.571310347,4.362501404,1.1940722,18.24211292,19.43618512
USA-13015,Georgia,Bartow County,7951,130,0.215,0.05,0.123,0.143,0.47,109426,1669,1236,1091,145,27,1500,1527,-3,1034,11.38210633,10.04682687,1.335279465,0.248638245,13.81323584,14.06187409
USA-13017,Georgia,Ben Hill County,1491,44,0.129,0.078,0.109,0.202,0.483,16614,-97,214,250,-36,9,-71,-62,1,298,12.8432108,15.00375094,-2.160540135,0.540135034,-4.261065266,-3.720930233
USA-13019,Georgia,Berrien County,1132,31,0.073,0.098,0.156,0.214,0.46,19408,31,252,260,-8,1,36,37,2,199,12.99471445,13.40724507,-0.412530618,0.051566327,1.856387779,1.907954106
USA-13021,Georgia,Bibb County,10126,261,0.043,0.094,0.176,0.201,0.487,152737,-454,1993,1891,102,91,-650,-559,3,6719,13.02920949,12.36238592,0.666823566,0.594911221,-4.249365864,-3.654454643
USA-13023,Georgia,Bleckley County,1016,35,0.089,0.031,0.117,0.256,0.508,12955,32,135,121,14,9,9,18,0,1413,10.43357292,9.351572765,1.082000155,0.695571528,0.695571528,1.391143056
USA-13025,Georgia,Brantley County,1044,20,0.047,0.129,0.15,0.164,0.51,19202,78,215,241,-26,4,98,102,2,89,11.21953765,12.57631895,-1.356781297,0.208735584,5.114021813,5.322757397
USA-13027,Georgia,Brooks County,994,31,0.092,0.165,0.124,0.235,0.385,15357,-161,155,215,-60,19,-120,-101,0,51,10.04048583,13.92712551,-3.886639676,1.230769231,-7.773279352,-6.542510121
USA-13029,Georgia,Bryan County,1963,21,0.033,0.039,0.095,0.238,0.595,40755,1063,565,283,282,5,781,786,-5,120,14.0465151,7.035688093,7.010827004,0.124305443,19.41651025,19.54081569
USA-13031,Georgia,Bulloch County,4421,57,0.053,0.049,0.163,0.31,0.424,80839,1121,893,636,257,86,775,861,3,6525,11.12377536,7.922420075,3.201355282,1.071270639,9.653892387,10.72516303
USA-13033,Georgia,Burke County,1570,20,0.105,0.109,0.087,0.208,0.492,22648,151,288,248,40,-2,113,111,0,296,12.75888803,10.98682025,1.772067782,-0.088603389,5.006091483,4.917488094
USA-13035,Georgia,Butts County,1703,48,0.125,0.037,0.144,0.163,0.53,25426,509,303,286,17,-3,497,494,-2,3014,12.03742328,11.36205629,0.675366983,-0.119182409,19.74455237,19.62536996
USA-13037,Georgia,Calhoun County,362,11,0.013,0.035,0.043,0.172,0.737,6231,47,49,49,0,2,45,47,0,1700,7.893677004,7.893677004,0,0.322190898,7.249295207,7.571486106
USA-13039,Georgia,Camden County,2491,22,0.136,0.125,0.17,0.113,0.456,55388,604,733,425,308,22,272,294,2,2017,13.30646625,7.715208946,5.591257307,0.399375522,4.937733725,5.337109247
USA-13043,Georgia,Candler County,689,36,0.037,0.045,0.177,0.264,0.477,10985,150,128,128,0,1,151,152,-2,267,11.73235564,11.73235564,0,0.091659028,13.84051329,13.93217232
USA-13045,Georgia,Carroll County,7614,125,0.089,0.133,0.154,0.168,0.457,121633,1518,1545,1186,359,64,1093,1157,2,4114,12.78190512,9.811870212,2.970034912,0.529476976,9.042473981,9.571950957
USA-13047,Georgia,Catoosa County,3442,39,0.143,0.152,0.114,0.217,0.375,67996,411,616,722,-106,2,516,518,-1,468,9.08681895,10.65045987,-1.563640923,0.029502659,7.611686003,7.641188662
USA-13049,Georgia,Charlton County,1031,19,0.065,0.094,0.15,0.196,0.495,13430,153,107,106,1,45,106,151,1,2571,8.012880518,7.937993784,0.074886734,3.369903022,7.937993784,11.30789681
USA-13051,Georgia,Chatham County,13657,239,0.035,0.04,0.144,0.158,0.624,289463,-722,3528,2836,692,377,-1789,-1412,-2,14736,12.17290494,9.785248979,2.387655957,1.300789445,-6.172711715,-4.87192227
USA-13053,Georgia,Chattahoochee County,2211,3,0.061,0.072,0.108,0.214,0.545,10551,-440,198,32,166,25,-626,-601,-5,2697,18.38269427,2.970940488,15.41175378,2.321047257,-58.1190233,-55.79797605
USA-13055,Georgia,Chattooga County,1822,47,0.116,0.102,0.187,0.143,0.451,24843,-3,307,312,-5,6,-6,0,2,1274,12.35685967,12.55811145,-0.201251786,0.241502143,-0.241502143,0
USA-13057,Georgia,Cherokee County,16567,132,0.049,0.054,0.1,0.213,0.584,265274,5799,2695,1855,840,228,4740,4968,-9,1624,10.27157746,7.070046822,3.201530637,0.868986887,18.06578002,18.93476691
USA-13059,Georgia,Clarke County,10088,66,0.054,0.057,0.06,0.226,0.603,127795,-443,1298,834,464,221,-1128,-907,0,10411,10.13931798,6.514785204,3.624532775,1.726339964,-8.81136416,-7.085024196
